url,title,category,tags,summary,usage_note
https://allis-co.com/allisblog/10781/,Web広告運用代行おすすめ11社｜現役運用者の"推し企業"一覧,比較おすすめ,"広告代理店,運用代行,比較",広告運用代行会社11社の比較・選定ポイント・活用事例,
https://allis-co.com/allisblog/8579/,5分で分かるMicrosoft広告とは？他媒体との違いと選ばれる理由,媒体機能解説,"Microsoft広告,媒体解説",Microsoft広告の特徴・メリデメ・運用ポイント・始め方,
https://allis-co.com/allisblog/11797/,成果を出すリスティング広告文の作り方｜クリック率向上の秘訣,メソッド解説,"リスティング広告,広告文,CTR",広告文のクリック率を高める5つのポイントと作成手順,
https://allis-co.com/allisblog/11298/,リスティング広告6つの成功事例｜成果を再現するコツも解説,事例解説,"リスティング広告,改善事例",6つの改善事例と自社への転用チェックリスト,
https://allis-co.com/allisblog/108573/,【広告運用研究会】リード獲得後のデータで施策を横並びにしたら判断が変わった3社の事例,研究会,"BtoB,リード,商談単価,有効リード率",リード獲得後データで施策評価。有効リード率・商談化率・商談単価で判断が変わった3社事例,
https://allis-co.com/allisblog/108558/,【広告運用研究会】指名検索広告どこまでが増分か？3社のインクリメンタル検証結果,研究会,"指名検索,インクリメンタル,カニバリ",指名検索広告の増分CV検証。増分CPAが管理画面の13倍・停止でCV23%減・季節性で結果逆転の3社事例,
https://allis-co.com/allisblog/108534/,【ミドルファネル研究会】広告ROASは調子がいいのに売上が伸び悩む,研究会,"ROAS,ミドルファネル,新規獲得,リピーター",ROAS偏重の5つの問題。リピーター偏重・新規過小評価・ミドルファネル施策がラストタッチ比2.4倍のCV,
https://allis-co.com/allisblog/108529/,【広告運用研究会】新規クリエイティブの配信機会を作るMeta広告のアカウント設計,研究会,"Meta広告,ASC,クリエイティブ検証,アカウント設計",ASCでクリエイティブ検証が回らない問題。広告セット分割でCPA25%改善・CV3.4倍,
https://allis-co.com/allisblog/108524/,【広告運用研究会】CPAが合わないデマジェン評価方法を変えたら判断が変わった,研究会,"デマンドジェネレーション,評価方法,初回接触CPA,商談単価",デマジェンの貢献評価。初回接触CPA・商談単価の2軸で見ると判断が変わった2社事例,
https://allis-co.com/allisblog/100094/,【広告運用研究会】除外キーワードは追加されるが見直されない,研究会,"除外キーワード,検索広告,アカウント構造",除外KW過剰蓄積問題。1000件超の除外が年間3100件のCV機会損失・24000件の除外で複雑化した事例,
https://allis-co.com/allisblog/100082/,【広告運用研究会】P-MAXの挙動変化に対する5つの運用判断,研究会,"P-MAX,YouTube,EVC,運用判断",P-MAXのYouTube偏重・EVC増加問題。停止・切り出し・計測期間短縮・除外・役割分担の5パターン,
https://allis-co.com/allisblog/11938/,広告運用は外注すべき？インハウスとの違いと活用ケースを解説,メソッド解説,"外注,インハウス,ハイブリッド運用,代理店選び",外注vsインハウスの比較。担当社数10社以上は注意。ハイブリッド運用の第三の選択肢,
https://allis-co.com/allisblog/11900/,広告運用代行の成功事例5選｜活用価値と選定のコツも解説,事例解説,"運用代行,成功事例,CV改善",アーラリンクCV3.8倍・Seibii売上20倍。担当社数5-6社目安・担当異動・提案不足の課題言及,
https://allis-co.com/allisblog/11871/,広告運用代行で成果が出ない5つの原因｜すぐに試せる対処法も解説,メソッド解説,"成果改善,代理店,切り替え判断",成果が出ない原因を代理店側・広告主側の双方から整理。切り替え判断基準あり,
https://allis-co.com/allisblog/11659/,広告代理店の切り替え方｜変更を考え始めたら読むべきガイド,メソッド解説,"代理店切り替え,リプレイス,変更手順",切り替え5ステップ。8割が3年以内に変更。半年以上目標未達で改善提案なしなら切り替え検討,
https://allis-co.com/allisblog/11676/,5分で分かる広告運用代行とは｜依頼するか悩んだら読む入門ガイド,媒体機能解説,"広告運用代行,入門",広告運用代行の基本。活用すべき5ケース・3つのメリデメ,
https://allis-co.com/allisblog/11361/,広告代理店の選び方ガイド｜理想の1社を見つけるポイントを解説,メソッド解説,"代理店選び,選定基準",5つの選定ステップと6つの選定ポイント。手数料の安さだけで判断しない,
https://allis-co.com/allisblog/11375/,広告代理店の手数料はいくら？費用相場とコスパの見極め方を解説,メソッド解説,"手数料,費用,料率型,固定報酬型",手数料体系4種類（料率・固定・時間単価・成果報酬）。安すぎる場合のリスク,
https://allis-co.com/allisblog/9577/,広告運用のインハウスとは？運用代行との違い・体制構築の仕方,メソッド解説,"インハウス,内製化,ハイブリッド",3形態（ヘビー・ミドル・ライト）。手数料型の利害不一致の構造的問題,
